window_end,active_games,bucket0_ratio
100,107.13,1.00
200,211.69,1.00
300,257.66,0.99
400,307.53,0.99
500,342.56,0.99
600,348.72,0.98
700,323.08,0.99
800,246.53,0.98
900,281.04,0.97
1000,405.39,0.98
1100,322.62,0.97
1200,273.47,0.97
1300,454.87,0.96
1400,554.87,0.96
1500,506.07,0.96
1600,476.32,0.96
1700,380.05,0.95
1800,590.96,0.95
1900,649.48,0.94
2000,658.38,0.94
2100,585.11,0.95
2200,493.16,0.95
2300,419.77,0.94
2400,669.44,0.92
2500,658.62,0.92
2600,460.62,0.90
2700,386.82,0.89
2800,319.62,0.85
2900,284.57,0.80
3000,451.72,0.92
3100,762.61,0.94
3200,706.84,0.94
3300,660.14,0.93
3400,614.97,0.93
3500,562.96,0.93
3600,427.10,0.93
3700,613.59,0.92
3800,876.60,0.89
3900,886.13,0.89
4000,849.86,0.89
4100,773.59,0.88
4200,724.28,0.88
4300,652.01,0.88
4400,575.18,0.88
4500,563.37,0.88
4600,948.59,0.87
4700,991.04,0.88
4800,995.29,0.89
4900,983.49,0.89
5000,920.96,0.89
5100,846.11,0.89
5200,786.37,0.89
5300,703.83,0.89
5400,764.76,0.89
5500,712.88,0.89
5600,677.24,0.89
5700,537.72,0.88
5800,893.11,0.84
5900,1077.30,0.84
6000,1023.70,0.85
6100,934.40,0.85
6200,870.57,0.84
6300,827.78,0.84
6400,783.81,0.84
6500,644.50,0.84
6600,648.89,0.84
6700,349.43,0.84
6800,719.24,0.82
6900,1204.73,0.82
7000,1156.56,0.82
7100,1114.99,0.82
7200,1086.64,0.82
7300,1059.67,0.82
7400,1033.17,0.82
7500,984.62,0.82
7600,879.08,0.82
7700,767.14,0.82
7800,558.26,0.81
7900,520.77,0.81
8000,1166.96,0.80
8100,1318.58,0.82
8200,1257.91,0.83
8300,1208.17,0.83
8400,1284.04,0.83
8500,1225.10,0.83
8600,1214.01,0.82
8700,1235.67,0.83
8800,1212.34,0.82
8900,1222.82,0.82
9000,1233.30,0.82
9100,1229.69,0.82
9200,994.25,0.82
9300,1015.36,0.82
9400,899.63,0.82
9500,1398.01,0.83
9600,1345.07,0.83
9700,1304.79,0.83
9800,1298.40,0.83
9900,1297.07,0.83
10000,1298.39,0.83
10100,1301.34,0.83
10200,1297.12,0.83
10300,1295.97,0.83
10400,1295.83,0.83
10500,1177.10,0.82
10600,922.51,0.82
10700,728.46,0.82
10800,1383.18,0.82
10900,1529.68,0.84
11000,1488.80,0.85
11100,1460.49,0.84
11200,1410.22,0.84
11300,1372.90,0.84
11400,1333.45,0.84
11500,1255.71,0.84
11600,1191.21,0.84
11700,1107.73,0.84
11800,1121.26,0.84
11900,933.87,0.84
12000,844.56,0.84
12100,788.44,0.84
12200,493.47,0.83
12300,1355.50,0.83
12400,1639.61,0.86
12500,1610.66,0.86
12600,1513.37,0.86
12700,1475.81,0.86
12800,1427.35,0.86
12900,1396.99,0.86
13000,1425.93,0.86
13100,1374.55,0.86
13200,1376.92,0.86
13300,1419.65,0.87
13400,1362.00,0.86
13500,1439.14,0.87
13600,1362.00,0.86
13700,1410.01,0.86
13800,1320.67,0.86
13900,1317.84,0.85
14000,1742.35,0.84
14100,1698.07,0.84
14200,1642.67,0.84
14300,1605.44,0.84
14400,1576.63,0.84
14500,1534.16,0.83
14600,1517.42,0.84
14700,1485.00,0.83
14800,1447.59,0.83
14900,1404.52,0.83
15000,1421.55,0.83
15100,1346.32,0.84
15200,1230.04,0.83
15300,1167.19,0.83
15400,809.55,0.82
15500,564.38,0.82
15600,581.75,0.81
15700,1518.71,0.79
15800,1864.84,0.82
15900,1833.94,0.82
16000,1776.64,0.83
16100,1697.12,0.83
16200,1642.65,0.82
16300,1567.23,0.82
16400,1536.32,0.82
16500,1541.30,0.82
16600,1510.78,0.82
16700,1504.53,0.82
16800,1511.52,0.83
16900,1464.71,0.82
17000,1340.53,0.82
17100,1180.85,0.81
17200,1175.08,0.82
17300,911.98,0.82
17400,814.65,0.82
17500,700.99,0.80
17600,1878.16,0.81
17700,1882.26,0.82
17800,1772.19,0.82
17900,1722.38,0.81
18000,1639.76,0.82
18100,1611.86,0.83
18200,1671.24,0.82
18300,1582.40,0.81
18400,1565.00,0.82
18500,1604.52,0.82
18600,1608.49,0.82
18700,1604.52,0.82
18800,1552.91,0.82
18900,1560.85,0.81
19000,1691.86,0.82
19100,1616.43,0.82
19200,1652.16,0.82
19300,1548.94,0.82
19400,1461.62,0.81
19500,1517.04,0.84
19600,1988.67,0.84
19700,1936.63,0.84
19800,1882.68,0.84
19900,1823.94,0.84
20000,1771.93,0.84
20100,1722.56,0.84
20200,1667.47,0.83
20300,1566.96,0.84
20400,1509.48,0.83
20500,1437.77,0.83
20600,1414.98,0.83
20700,1377.86,0.83
20800,1345.35,0.83
20900,1244.59,0.83
21000,1219.08,0.83
21100,1213.77,0.83
21200,1063.89,0.82
21300,967.54,0.82
21400,861.36,0.83
21500,1518.05,0.83
21600,2043.47,0.85
21700,2003.82,0.86
21800,1995.77,0.86
21900,1991.48,0.86
22000,1985.14,0.85
22100,1953.69,0.85
22200,1911.25,0.86
22300,1820.45,0.85
22400,1642.18,0.85
22500,1414.09,0.85
22600,1414.00,0.85
22700,1412.54,0.86
22800,1412.54,0.85
22900,1499.35,0.85
23000,1475.00,0.85
23100,1336.88,0.85
23200,1284.61,0.85
23300,1320.22,0.85
23400,1072.01,0.85
23500,950.36,0.83
23600,2002.80,0.84
23700,1995.00,0.84
23800,1995.00,0.83
23900,1995.00,0.84
24000,1995.00,0.83
24100,2000.76,0.83
24200,1999.32,0.84
24300,1997.88,0.84
24400,2013.42,0.85
24500,1999.20,0.85
24600,2009.61,0.84
24700,1998.73,0.83
24800,1995.00,0.83
24900,1995.00,0.83
25000,1995.00,0.84
25100,1994.62,0.83
25200,1989.76,0.83
25300,1954.03,0.83
25400,1960.23,0.83
25500,1944.39,0.82
25600,2046.97,0.84
25700,2003.86,0.84
25800,1968.79,0.84
25900,1939.84,0.83
26000,1891.32,0.83
26100,1845.84,0.83
26200,1843.00,0.83
26300,1843.00,0.83
26400,1843.00,0.83
26500,1843.00,0.83
26600,1843.42,0.83
26700,1759.62,0.83
26800,1701.00,0.83
26900,1769.55,0.83
27000,1703.84,0.83
27100,1680.28,0.83
27200,1671.10,0.83
27300,1607.00,0.83
27400,1067.66,0.82
27500,585.89,0.81
27600,2125.44,0.80
27700,2119.36,0.82
27800,2075.80,0.82
27900,2039.22,0.83
28000,2027.08,0.82
28100,2016.56,0.83
28200,1991.39,0.83
28300,1963.16,0.82
28400,1930.87,0.82
28500,1887.37,0.82
28600,1828.08,0.82
28700,1760.10,0.82
28800,1629.34,0.82
28900,1521.14,0.82
29000,1490.55,0.82
29100,1654.38,0.82
29200,1526.93,0.82
29300,1566.50,0.82
29400,1484.00,0.82
29500,1242.05,0.82
29600,1035.64,0.82
29700,1783.64,0.81
29800,2101.37,0.82
29900,1985.84,0.82
30000,1929.78,0.82
30100,1890.85,0.82
30200,1822.38,0.82
30300,1826.13,0.82
30400,1763.42,0.82
30500,1778.17,0.81
30600,1770.02,0.82
30700,1769.44,0.82
30800,1699.41,0.82
30900,1787.24,0.82
31000,1700.11,0.81
31100,1757.31,0.81
31200,1766.17,0.81
31300,1713.01,0.81
31400,1752.85,0.82
31500,1712.80,0.82
31600,1723.06,0.81
31700,1671.73,0.82
31800,2004.75,0.83
31900,2106.85,0.83
32000,2052.16,0.83
32100,1970.82,0.83
32200,1898.11,0.83
32300,1854.89,0.83
32400,1810.67,0.82
32500,1780.64,0.83
32600,1777.61,0.83
32700,1778.20,0.83
32800,1775.00,0.83
32900,1793.56,0.83
33000,1775.00,0.83
33100,1775.00,0.82
33200,1775.00,0.83
33300,1775.00,0.82
33400,1775.00,0.82
33500,1722.37,0.82
33600,1134.37,0.82
33700,1165.89,0.82
33800,733.03,0.82
33900,1291.49,0.80
34000,2170.43,0.82
34100,2118.47,0.83
34200,2064.97,0.82
34300,2024.25,0.83
34400,1961.33,0.82
34500,1935.37,0.82
34600,1929.95,0.82
34700,1867.22,0.83
34800,1804.73,0.82
34900,1718.72,0.82
35000,1608.07,0.82
35100,1560.48,0.82
35200,1530.51,0.82
35300,1474.51,0.82
35400,1306.62,0.82
35500,1325.28,0.82
35600,1217.41,0.82
35700,1199.34,0.82
35800,1046.86,0.82
35900,883.26,0.82
36000,442.58,0.81
36100,1669.77,0.80
36200,2133.59,0.83
36300,2029.09,0.82
36400,2005.96,0.83
36500,1906.29,0.82
36600,1887.94,0.83
36700,1817.63,0.83
36800,1813.96,0.83
36900,1813.06,0.83
37000,1758.55,0.83
37100,1758.05,0.83
37200,1763.93,0.83
37300,1763.24,0.83
