window_end,active_games,bucket0_ratio
100,149.98,1.00
200,225.08,0.99
300,273.68,0.99
400,315.52,0.98
500,349.59,0.98
600,381.52,0.98
700,409.56,0.98
800,435.38,0.97
900,461.35,0.96
1000,483.93,0.96
1100,506.44,0.95
1200,525.73,0.95
1300,545.41,0.95
1400,566.50,0.95
1500,586.62,0.95
1600,603.78,0.95
1700,620.53,0.94
1800,637.38,0.93
1900,651.99,0.94
2000,670.88,0.93
2100,686.82,0.93
2200,700.69,0.92
2300,715.23,0.91
2400,730.19,0.90
2500,743.70,0.90
2600,758.07,0.89
2700,773.02,0.89
2800,784.35,0.88
2900,800.46,0.87
3000,809.94,0.87
3100,823.35,0.86
3200,836.05,0.86
3300,849.08,0.86
3400,861.16,0.85
3500,872.74,0.84
3600,884.26,0.84
3700,896.60,0.83
3800,908.57,0.83
3900,919.03,0.82
4000,933.08,0.81
4100,945.24,0.81
4200,941.66,0.80
4300,963.94,0.80
4400,969.35,0.79
4500,974.51,0.78
4600,995.33,0.78
4700,995.38,0.77
4800,1019.72,0.77
4900,1028.08,0.76
5000,1042.82,0.76
5100,1046.61,0.75
5200,1045.89,0.75
5300,1063.89,0.74
5400,1049.94,0.74
5500,1054.56,0.73
5600,1039.50,0.71
5700,1068.31,0.71
5800,1068.32,0.69
5900,1088.06,0.67
6000,1128.40,0.66
6100,1153.24,0.64
6200,1138.22,0.63
6300,1136.33,0.61
6400,1130.31,0.59
6500,1117.80,0.58
6600,1094.37,0.58
6700,1077.56,0.57
6800,1066.92,0.55
6900,1068.14,0.55
7000,1089.20,0.56
7100,1072.30,0.54
7200,1104.81,0.54
7300,1116.82,0.53
7400,1125.65,0.54
7500,1114.32,0.54
7600,1090.73,0.54
7700,1098.56,0.55
7800,1106.72,0.55
7900,1098.47,0.55
8000,1096.49,0.55
8100,1110.56,0.56
8200,1112.38,0.56
8300,1092.48,0.56
8400,1095.63,0.55
8500,1100.24,0.56
8600,1107.63,0.56
8700,1132.15,0.57
8800,1148.53,0.58
8900,1161.08,0.57
9000,1171.46,0.58
9100,1176.55,0.57
