Type,Value
CPU,2.79
MEM,25.34 MB
CPU,8.13
MEM,29.97 MB
CPU,10.40
MEM,35.81 MB
CPU,15.57
MEM,44.67 MB
CPU,17.60
MEM,51.65 MB
CPU,21.00
MEM,57.81 MB
CPU,26.55
MEM,61.72 MB
CPU,18.40
MEM,76.42 MB
CPU,20.40
MEM,82.42 MB
CPU,23.15
MEM,88.65 MB
CPU,23.40
MEM,98.37 MB
CPU,26.00
MEM,103.30 MB
CPU,30.00
MEM,111.55 MB
CPU,31.80
MEM,113.14 MB
CPU,42.00
MEM,124.25 MB
CPU,47.11
MEM,134.51 MB
CPU,44.20
MEM,150.77 MB
CPU,47.00
MEM,154.61 MB
CPU,44.60
MEM,155.10 MB
CPU,47.80
MEM,172.68 MB
CPU,46.32
MEM,171.21 MB
CPU,45.11
MEM,171.91 MB
CPU,49.20
MEM,166.46 MB
CPU,46.80
MEM,177.53 MB
CPU,46.11
MEM,188.22 MB
CPU,53.40
MEM,148.95 MB
CPU,50.00
MEM,194.39 MB
CPU,53.20
MEM,194.50 MB
CPU,51.57
MEM,141.01 MB
CPU,51.80
MEM,191.62 MB
CPU,53.40
MEM,185.65 MB
CPU,49.10
MEM,180.32 MB
CPU,48.80
MEM,192.77 MB
CPU,49.50
MEM,189.90 MB
CPU,49.51
MEM,195.22 MB
CPU,47.80
MEM,182.51 MB
CPU,50.20
MEM,194.14 MB
CPU,46.71
MEM,195.57 MB
CPU,51.60
MEM,190.86 MB
CPU,47.31
MEM,185.71 MB
CPU,47.50
MEM,192.10 MB
CPU,49.20
MEM,192.98 MB
CPU,45.31
MEM,195.41 MB
CPU,51.80
MEM,195.37 MB
CPU,51.20
MEM,193.46 MB
CPU,53.17
MEM,192.94 MB
CPU,53.20
MEM,200.36 MB
CPU,52.00
MEM,206.65 MB
CPU,51.50
MEM,204.45 MB
CPU,49.60
MEM,197.25 MB
CPU,47.01
MEM,193.84 MB
CPU,42.80
MEM,184.08 MB
CPU,44.20
MEM,187.17 MB
CPU,36.80
MEM,179.20 MB
CPU,45.20
MEM,170.23 MB
CPU,35.73
MEM,170.47 MB
CPU,34.12
MEM,166.79 MB
CPU,40.00
MEM,153.56 MB
CPU,25.40
MEM,153.56 MB
CPU,26.00
MEM,142.06 MB
CPU,32.87
MEM,124.49 MB
CPU,25.05
MEM,128.87 MB
CPU,28.34
MEM,117.84 MB
CPU,27.40
MEM,111.38 MB
CPU,22.20
MEM,109.47 MB
CPU,20.40
MEM,99.93 MB
CPU,19.80
MEM,94.74 MB
CPU,19.12
MEM,86.98 MB
CPU,8.60
MEM,80.23 MB
CPU,4.57
MEM,80.23 MB
