Type,Value
CPU,3.80
MEM,251.20 MB
CPU,12.38
MEM,254.11 MB
CPU,19.77
MEM,254.67 MB
CPU,24.60
MEM,254.77 MB
CPU,30.60
MEM,254.77 MB
CPU,35.53
MEM,254.77 MB
CPU,41.80
MEM,256.32 MB
CPU,47.31
MEM,256.57 MB
CPU,54.20
MEM,257.61 MB
CPU,59.08
MEM,260.52 MB
CPU,64.20
MEM,260.53 MB
CPU,68.86
MEM,277.28 MB
CPU,69.60
MEM,279.34 MB
CPU,70.00
MEM,279.60 MB
CPU,70.20
MEM,291.62 MB
CPU,70.60
MEM,293.68 MB
CPU,71.40
MEM,294.20 MB
CPU,71.20
MEM,294.20 MB
CPU,71.80
MEM,295.98 MB
CPU,71.20
MEM,296.75 MB
CPU,71.20
MEM,297.76 MB
CPU,71.80
MEM,298.85 MB
CPU,71.26
MEM,298.96 MB
CPU,70.92
MEM,299.51 MB
CPU,70.86
MEM,301.08 MB
CPU,71.20
MEM,301.18 MB
CPU,71.00
MEM,301.18 MB
CPU,70.60
MEM,301.46 MB
CPU,70.40
MEM,301.72 MB
CPU,71.06
MEM,301.72 MB
CPU,68.80
MEM,303.41 MB
CPU,68.60
MEM,303.41 MB
CPU,70.46
MEM,303.66 MB
CPU,71.26
MEM,303.29 MB
CPU,69.80
MEM,303.29 MB
CPU,70.80
MEM,303.55 MB
CPU,70.52
MEM,304.22 MB
CPU,70.58
MEM,304.22 MB
CPU,69.60
MEM,304.48 MB
CPU,70.00
MEM,306.23 MB
CPU,70.26
MEM,306.49 MB
CPU,69.86
MEM,306.75 MB
CPU,70.20
MEM,306.52 MB
CPU,69.80
MEM,306.52 MB
CPU,69.60
MEM,306.78 MB
CPU,69.80
MEM,308.16 MB
CPU,69.80
MEM,308.42 MB
CPU,70.06
MEM,309.59 MB
CPU,69.06
MEM,311.44 MB
CPU,69.20
MEM,311.95 MB
CPU,69.80
MEM,312.21 MB
CPU,66.27
MEM,322.17 MB
CPU,70.00
MEM,322.24 MB
CPU,70.40
MEM,322.24 MB
CPU,70.20
MEM,322.40 MB
CPU,71.60
MEM,322.40 MB
CPU,71.26
MEM,322.91 MB
CPU,69.66
MEM,322.72 MB
CPU,70.06
MEM,322.97 MB
CPU,70.72
MEM,323.23 MB
CPU,70.00
MEM,323.07 MB
CPU,69.06
MEM,323.07 MB
CPU,70.00
MEM,323.07 MB
CPU,66.00
MEM,325.39 MB
CPU,70.20
MEM,325.26 MB
CPU,70.66
MEM,325.26 MB
CPU,70.00
MEM,325.26 MB
CPU,70.45
MEM,325.77 MB
CPU,71.00
MEM,325.77 MB
CPU,70.60
MEM,325.77 MB
CPU,69.86
MEM,325.77 MB
CPU,70.80
MEM,325.77 MB
CPU,70.00
MEM,325.77 MB
CPU,69.66
MEM,325.77 MB
CPU,71.40
MEM,325.77 MB
CPU,65.80
MEM,325.77 MB
CPU,70.06
MEM,325.77 MB
CPU,71.26
MEM,325.77 MB
CPU,70.20
MEM,325.77 MB
CPU,70.40
MEM,325.77 MB
CPU,71.40
MEM,325.77 MB
CPU,70.59
MEM,325.77 MB
CPU,70.40
MEM,326.03 MB
CPU,66.60
MEM,326.03 MB
CPU,71.18
MEM,327.85 MB
CPU,69.96
MEM,328.02 MB
CPU,70.40
MEM,328.02 MB
CPU,67.20
MEM,332.05 MB
CPU,71.26
MEM,332.05 MB
CPU,70.06
MEM,332.05 MB
CPU,72.80
MEM,332.09 MB
CPU,70.06
MEM,332.09 MB
CPU,70.86
MEM,332.53 MB
CPU,69.80
MEM,335.44 MB
CPU,70.40
MEM,339.13 MB
CPU,70.60
MEM,339.13 MB
CPU,70.66
MEM,339.13 MB
CPU,70.80
MEM,339.13 MB
CPU,65.60
MEM,339.13 MB
CPU,57.80
MEM,339.13 MB
CPU,41.80
MEM,339.13 MB
CPU,33.60
MEM,339.13 MB
CPU,28.29
MEM,338.97 MB
CPU,23.00
MEM,338.97 MB
CPU,17.80
MEM,338.97 MB
CPU,13.77
MEM,338.97 MB
CPU,12.40
MEM,338.97 MB
CPU,8.58
MEM,338.97 MB
CPU,6.00
MEM,338.97 MB
CPU,4.39
MEM,338.97 MB
CPU,2.80
MEM,338.97 MB
CPU,2.20
MEM,338.97 MB
CPU,1.00
MEM,338.97 MB
CPU,0.60
MEM,338.97 MB
