Type,Value
CPU,2.00
MEM,266.14 MB
CPU,11.60
MEM,266.21 MB
CPU,18.20
MEM,266.28 MB
CPU,26.00
MEM,268.32 MB
CPU,30.94
MEM,276.43 MB
CPU,34.80
MEM,284.43 MB
CPU,42.00
MEM,296.57 MB
CPU,40.20
MEM,314.56 MB
CPU,44.40
MEM,332.31 MB
CPU,46.60
MEM,350.38 MB
CPU,49.22
MEM,374.66 MB
CPU,51.40
MEM,397.89 MB
CPU,55.00
MEM,416.14 MB
CPU,57.26
MEM,442.50 MB
CPU,54.20
MEM,469.89 MB
CPU,52.40
MEM,503.41 MB
CPU,55.69
MEM,539.36 MB
CPU,67.86
MEM,572.91 MB
CPU,68.60
MEM,588.16 MB
CPU,57.09
MEM,629.39 MB
CPU,54.49
MEM,673.06 MB
CPU,69.00
MEM,701.66 MB
CPU,67.40
MEM,729.14 MB
CPU,49.20
MEM,779.22 MB
CPU,69.00
MEM,798.48 MB
CPU,60.88
MEM,839.89 MB
CPU,53.20
MEM,887.95 MB
CPU,68.86
MEM,900.94 MB
CPU,51.20
MEM,954.21 MB
CPU,67.86
MEM,962.87 MB
CPU,62.80
MEM,1001.46 MB
CPU,61.83
MEM,1028.56 MB
CPU,51.70
MEM,1075.05 MB
CPU,62.60
MEM,1088.04 MB
CPU,48.71
MEM,1134.34 MB
CPU,61.48
MEM,1156.12 MB
CPU,63.20
MEM,1190.94 MB
CPU,60.36
MEM,1224.82 MB
CPU,57.09
MEM,1240.45 MB
CPU,50.60
MEM,1263.60 MB
CPU,45.80
MEM,1312.97 MB
CPU,56.80
MEM,1329.53 MB
CPU,45.80
MEM,1384.69 MB
CPU,58.08
MEM,1398.24 MB
CPU,44.00
MEM,1462.43 MB
CPU,56.49
MEM,1485.77 MB
CPU,50.00
MEM,1510.24 MB
CPU,47.33
MEM,1575.56 MB
CPU,52.80
MEM,1588.36 MB
CPU,49.60
MEM,1631.84 MB
CPU,51.40
MEM,1683.04 MB
CPU,52.20
MEM,1706.38 MB
CPU,47.80
MEM,1769.25 MB
CPU,57.29
MEM,1780.16 MB
CPU,47.20
MEM,1822.33 MB
CPU,54.20
MEM,1865.62 MB
CPU,50.40
MEM,1913.81 MB
CPU,55.49
MEM,1932.45 MB
CPU,55.09
MEM,1948.45 MB
CPU,46.31
MEM,2014.89 MB
CPU,64.20
MEM,2026.56 MB
CPU,58.68
MEM,2045.57 MB
CPU,46.40
MEM,2107.69 MB
CPU,65.80
MEM,2114.28 MB
CPU,59.40
MEM,2132.45 MB
CPU,51.70
MEM,2489.45 MB
CPU,65.67
MEM,2855.82 MB
CPU,56.57
MEM,2881.82 MB
CPU,64.34
MEM,2881.82 MB
CPU,53.09
MEM,2931.82 MB
CPU,52.99
MEM,2931.82 MB
CPU,67.60
MEM,2951.82 MB
CPU,48.50
MEM,2951.82 MB
CPU,70.46
MEM,2951.82 MB
CPU,52.69
MEM,2951.82 MB
CPU,71.01
MEM,2951.82 MB
CPU,65.87
MEM,2951.82 MB
CPU,50.00
MEM,2951.89 MB
CPU,71.80
MEM,2951.89 MB
CPU,74.80
MEM,2951.89 MB
CPU,63.00
MEM,2951.89 MB
CPU,54.60
MEM,2951.89 MB
CPU,43.60
MEM,2951.89 MB
CPU,35.86
MEM,2951.89 MB
CPU,34.65
MEM,2951.89 MB
CPU,25.15
MEM,2951.89 MB
CPU,15.94
MEM,2951.89 MB
CPU,7.60
MEM,2951.89 MB
CPU,2.40
MEM,2951.89 MB
