Type,Value
CPU,0.00
MEM,251.06 MB
CPU,9.00
MEM,251.32 MB
CPU,16.37
MEM,116.57 MB
CPU,24.95
MEM,133.73 MB
CPU,32.80
MEM,162.91 MB
CPU,38.80
MEM,184.44 MB
CPU,44.31
MEM,220.02 MB
CPU,48.61
MEM,232.23 MB
CPU,54.40
MEM,248.48 MB
CPU,59.60
MEM,252.86 MB
CPU,67.19
MEM,253.18 MB
CPU,69.80
MEM,268.65 MB
CPU,68.80
MEM,271.23 MB
CPU,68.49
MEM,271.74 MB
CPU,70.72
MEM,277.98 MB
CPU,70.00
MEM,281.91 MB
CPU,70.97
MEM,281.91 MB
CPU,71.40
MEM,281.91 MB
CPU,71.20
MEM,283.98 MB
CPU,71.40
MEM,283.98 MB
CPU,71.66
MEM,284.23 MB
CPU,71.20
MEM,285.91 MB
CPU,70.40
MEM,285.91 MB
CPU,71.20
MEM,286.32 MB
CPU,72.20
MEM,289.19 MB
CPU,70.66
MEM,288.79 MB
CPU,71.00
MEM,290.71 MB
CPU,70.40
MEM,290.71 MB
CPU,70.20
MEM,290.71 MB
CPU,71.00
MEM,290.41 MB
CPU,70.66
MEM,290.41 MB
CPU,70.26
MEM,290.67 MB
CPU,70.86
MEM,290.67 MB
CPU,69.60
MEM,290.67 MB
CPU,71.20
MEM,291.96 MB
CPU,69.00
MEM,291.96 MB
CPU,70.20
MEM,291.96 MB
CPU,70.80
MEM,291.96 MB
CPU,69.80
MEM,291.96 MB
CPU,69.52
MEM,291.96 MB
CPU,69.66
MEM,294.79 MB
CPU,70.46
MEM,295.57 MB
CPU,70.38
MEM,295.82 MB
CPU,70.40
MEM,295.82 MB
CPU,66.60
MEM,297.89 MB
CPU,68.40
MEM,298.14 MB
CPU,69.00
MEM,298.66 MB
CPU,69.40
MEM,300.12 MB
CPU,68.86
MEM,303.92 MB
CPU,69.60
MEM,303.92 MB
CPU,70.00
MEM,304.18 MB
CPU,68.66
MEM,304.18 MB
CPU,69.40
MEM,304.18 MB
CPU,68.99
MEM,305.28 MB
CPU,69.26
MEM,305.28 MB
CPU,69.80
MEM,305.28 MB
CPU,64.60
MEM,311.21 MB
CPU,68.60
MEM,312.24 MB
CPU,69.66
MEM,312.24 MB
CPU,70.60
MEM,312.24 MB
CPU,69.22
MEM,317.66 MB
CPU,69.20
MEM,317.92 MB
CPU,69.40
MEM,317.92 MB
CPU,69.14
MEM,321.32 MB
CPU,69.80
MEM,321.32 MB
CPU,70.66
MEM,320.77 MB
CPU,69.80
MEM,320.77 MB
CPU,71.60
MEM,320.12 MB
CPU,65.36
MEM,325.27 MB
CPU,67.40
MEM,325.27 MB
CPU,69.26
MEM,325.37 MB
CPU,70.40
MEM,325.37 MB
CPU,70.80
MEM,325.42 MB
CPU,70.46
MEM,325.42 MB
CPU,69.60
MEM,325.42 MB
CPU,69.58
MEM,325.42 MB
CPU,70.00
MEM,325.42 MB
CPU,71.20
MEM,325.42 MB
CPU,69.40
MEM,325.42 MB
CPU,69.20
MEM,325.42 MB
CPU,66.20
MEM,324.74 MB
CPU,69.00
MEM,324.74 MB
CPU,69.80
MEM,324.74 MB
CPU,71.00
MEM,324.74 MB
CPU,70.40
MEM,324.74 MB
CPU,70.60
MEM,324.74 MB
CPU,70.80
MEM,324.74 MB
CPU,70.00
MEM,324.74 MB
CPU,70.20
MEM,324.74 MB
CPU,71.60
MEM,324.74 MB
CPU,71.00
MEM,324.74 MB
CPU,71.06
MEM,324.74 MB
CPU,64.47
MEM,329.31 MB
CPU,69.80
MEM,329.31 MB
CPU,70.86
MEM,329.31 MB
CPU,71.00
MEM,329.31 MB
CPU,70.80
MEM,332.92 MB
CPU,70.83
MEM,332.92 MB
CPU,71.06
MEM,332.92 MB
CPU,71.00
MEM,333.18 MB
CPU,71.40
MEM,333.18 MB
CPU,71.20
MEM,333.18 MB
CPU,70.20
MEM,333.18 MB
CPU,70.69
MEM,333.18 MB
CPU,59.60
MEM,334.30 MB
CPU,61.40
MEM,334.30 MB
CPU,53.20
MEM,334.30 MB
CPU,44.60
MEM,334.30 MB
CPU,37.40
MEM,334.30 MB
CPU,31.40
MEM,334.30 MB
CPU,24.40
MEM,334.30 MB
CPU,19.36
MEM,334.30 MB
CPU,15.37
MEM,334.30 MB
CPU,12.18
MEM,334.30 MB
CPU,9.38
MEM,334.30 MB
CPU,7.20
MEM,334.30 MB
CPU,4.80
MEM,334.30 MB
CPU,3.79
MEM,334.30 MB
CPU,1.80
MEM,331.39 MB
CPU,1.60
MEM,331.39 MB
CPU,1.19
MEM,331.39 MB
CPU,0.80
MEM,331.39 MB
CPU,0.00
MEM,0.00 MB
