window_end,active_games,bucket0_ratio
27500,1618.56,0.84
27600,1514.75,0.84
27700,1402.98,0.84
27800,1383.20,0.84
27900,1384.12,0.84
28000,1493.56,0.84
28100,1315.00,0.84
28200,1315.00,0.84
28300,1315.00,0.84
28400,1309.96,0.83
28500,1294.00,0.83
28600,562.70,0.83
28700,1951.83,0.83
28800,2051.62,0.84
28900,1948.66,0.84
29000,1803.22,0.84
29100,1950.55,0.84
29200,1820.70,0.84
29300,1848.36,0.84
29400,1756.40,0.84
29500,1726.00,0.84
29600,1785.04,0.84
29700,1733.86,0.84
29800,1726.00,0.85
29900,1726.00,0.84
30000,1726.00,0.84
30100,1726.00,0.85
30200,1726.00,0.84
30300,1729.93,0.84
30400,1726.00,0.84
30500,1729.93,0.84
30600,1765.30,0.84
30700,1726.00,0.84
30800,1840.14,0.85
30900,2111.09,0.85
31000,2045.90,0.85
31100,2003.97,0.85
31200,1997.65,0.85
31300,1943.93,0.85
31400,1909.13,0.85
31500,1904.14,0.85
31600,1870.52,0.85
31700,1846.96,0.85
31800,1781.20,0.85
31900,1731.09,0.85
32000,1677.46,0.84
32100,1602.90,0.85
32200,1583.00,0.85
32300,1583.00,0.85
32400,1612.90,0.85
32500,1650.70,0.85
32600,1584.32,0.85
32700,1530.80,0.85
32800,784.67,0.84
32900,1310.18,0.83
33000,2164.01,0.85
33100,2109.67,0.85
33200,2066.16,0.85
33300,2051.30,0.85
33400,2038.04,0.85
33500,2031.05,0.85
33600,2032.88,0.85
33700,2032.87,0.85
33800,2034.50,0.84
33900,2030.00,0.84
34000,2030.00,0.84
34100,2033.15,0.84
34200,2030.00,0.84
34300,2031.70,0.84
34400,2030.20,0.84
34500,2031.70,0.84
34600,2031.53,0.84
34700,2036.57,0.84
34800,2030.00,0.84
34900,1811.55,0.83
35000,561.34,0.83
35100,1957.66,0.83
35200,2111.07,0.84
35300,2091.38,0.84
35400,2085.66,0.84
35500,2108.76,0.83
35600,2086.98,0.84
35700,2129.24,0.84
35800,2104.40,0.84
35900,2096.60,0.85
36000,2098.92,0.85
36100,2113.55,0.84
36200,2091.63,0.85
36300,2085.00,0.85
36400,2085.00,0.85
36500,2085.00,0.85
36600,2085.00,0.84
36700,2085.00,0.85
36800,2085.00,0.84
36900,2085.00,0.84
37000,2078.71,0.84
37100,1844.97,0.83
37200,1653.65,0.84
