window_end,active_games,bucket0_ratio
100,150.07,0.99
200,225.29,0.97
300,272.04,0.96
400,309.51,0.95
500,359.54,0.95
600,382.40,0.94
700,406.00,0.93
800,440.53,0.92
900,467.84,0.92
1000,484.53,0.91
1100,503.80,0.91
1200,527.71,0.90
1300,554.10,0.90
1400,572.65,0.89
1500,586.97,0.89
1600,601.44,0.88
1700,613.85,0.86
1800,636.60,0.86
1900,668.42,0.88
2000,685.91,0.87
2100,697.51,0.86
2200,703.32,0.85
2300,712.11,0.86
2400,730.56,0.86
2500,749.69,0.85
2600,773.35,0.84
2700,785.83,0.84
2800,796.66,0.83
2900,804.21,0.83
3000,812.83,0.82
3100,825.26,0.80
3200,840.47,0.78
3300,858.98,0.77
3400,875.45,0.76
3500,885.93,0.77
3600,896.64,0.76
3700,904.02,0.75
3800,912.66,0.76
3900,922.68,0.76
4000,928.00,0.74
4100,940.75,0.73
4200,958.00,0.73
4300,974.73,0.74
4400,996.35,0.76
4500,1005.62,0.75
4600,1006.33,0.75
4700,1013.83,0.74
4800,1010.72,0.73
4900,995.82,0.73
5000,1036.96,0.73
5100,1050.67,0.71
5200,1063.81,0.71
5300,1087.54,0.70
5400,1103.58,0.70
5500,1112.76,0.69
5600,1113.49,0.69
5700,1071.51,0.69
5800,1013.41,0.69
5900,958.11,0.69
6000,850.09,0.69
6100,879.85,0.67
6200,1153.85,0.65
6300,1168.70,0.66
6400,1210.02,0.68
6500,1222.90,0.66
6600,1230.53,0.65
6700,1232.60,0.66
6800,1175.44,0.68
6900,1070.80,0.69
7000,1063.38,0.68
7100,976.57,0.69
7200,825.21,0.69
7300,691.52,0.69
7400,614.98,0.67
7500,1050.07,0.64
7600,1324.53,0.67
7700,1339.87,0.67
7800,1349.65,0.67
7900,1319.21,0.67
8000,1242.25,0.69
8100,1144.20,0.69
8200,1038.93,0.69
8300,992.75,0.69
8400,920.81,0.69
8500,851.29,0.69
8600,760.00,0.69
8700,564.87,0.68
8800,750.49,0.66
8900,1434.31,0.66
9000,1457.40,0.65
9100,1466.51,0.65
9200,1461.42,0.67
9300,1408.55,0.67
9400,1294.54,0.67
9500,1212.42,0.68
9600,1109.10,0.67
9700,1033.12,0.67
9800,862.03,0.67
9900,833.56,0.67
10000,739.71,0.67
10100,644.48,0.66
10200,543.58,0.66
10300,1318.99,0.60
10400,1574.95,0.61
10500,1571.11,0.61
10600,1562.73,0.61
10700,1480.87,0.63
10800,1356.90,0.63
10900,1446.45,0.61
11000,1392.18,0.63
11100,1274.78,0.63
11200,1157.98,0.63
11300,1120.27,0.63
11400,1137.55,0.63
11500,1048.90,0.63
11600,997.82,0.63
11700,909.80,0.62
11800,687.14,0.60
11900,1697.38,0.63
12000,1666.31,0.64
12100,1577.19,0.67
12200,1498.56,0.67
12300,1412.30,0.67
12400,1300.09,0.66
12500,1260.86,0.67
12600,1216.07,0.67
12700,1194.01,0.67
12800,1028.38,0.67
12900,875.60,0.67
13000,774.26,0.67
13100,700.85,0.66
13200,651.66,0.66
13300,538.70,0.65
13400,375.18,0.65
13500,1019.89,0.59
13600,1834.91,0.55
13700,1801.03,0.54
13800,1743.84,0.54
13900,1692.69,0.53
14000,1622.44,0.55
14100,1545.41,0.54
14200,1493.34,0.54
14300,1410.83,0.53
14400,1377.78,0.54
14500,1285.62,0.55
14600,1221.85,0.54
14700,1127.70,0.54
14800,1041.37,0.54
14900,872.30,0.53
15000,598.80,0.53
15100,441.21,0.52
