Type,Value
CPU,0.20
MEM,249.14 MB
CPU,9.40
MEM,250.86 MB
CPU,14.97
MEM,250.92 MB
CPU,22.80
MEM,253.73 MB
CPU,26.20
MEM,259.77 MB
CPU,30.54
MEM,269.84 MB
CPU,36.73
MEM,281.89 MB
CPU,41.20
MEM,294.61 MB
CPU,43.00
MEM,312.50 MB
CPU,47.00
MEM,330.75 MB
CPU,49.70
MEM,353.78 MB
CPU,52.39
MEM,379.52 MB
CPU,55.00
MEM,404.43 MB
CPU,54.89
MEM,432.92 MB
CPU,57.80
MEM,464.61 MB
CPU,61.68
MEM,482.49 MB
CPU,59.08
MEM,511.48 MB
CPU,52.20
MEM,549.18 MB
CPU,51.39
MEM,587.77 MB
CPU,64.54
MEM,628.62 MB
CPU,70.80
MEM,651.02 MB
CPU,64.94
MEM,684.34 MB
CPU,49.60
MEM,732.78 MB
CPU,67.47
MEM,776.82 MB
CPU,68.20
MEM,790.75 MB
CPU,47.20
MEM,839.70 MB
CPU,68.33
MEM,872.82 MB
CPU,64.80
MEM,899.36 MB
CPU,56.40
MEM,951.77 MB
CPU,68.06
MEM,960.24 MB
CPU,49.00
MEM,1014.64 MB
CPU,68.00
MEM,1039.68 MB
CPU,60.40
MEM,1079.77 MB
CPU,56.29
MEM,1134.92 MB
CPU,67.66
MEM,1147.34 MB
CPU,49.40
MEM,1203.62 MB
CPU,67.60
MEM,1225.65 MB
CPU,48.50
MEM,1266.68 MB
CPU,66.40
MEM,1277.60 MB
CPU,52.80
MEM,1318.63 MB
CPU,62.48
MEM,1349.51 MB
CPU,60.88
MEM,1364.94 MB
CPU,47.40
MEM,1404.47 MB
CPU,55.80
MEM,1437.50 MB
CPU,50.80
MEM,1482.87 MB
CPU,58.08
MEM,1496.98 MB
CPU,44.91
MEM,1565.75 MB
CPU,60.48
MEM,1583.26 MB
CPU,58.88
MEM,1613.94 MB
CPU,49.90
MEM,1677.00 MB
CPU,53.20
MEM,1707.86 MB
CPU,52.00
MEM,1734.41 MB
CPU,48.60
MEM,1799.73 MB
CPU,60.80
MEM,1823.25 MB
CPU,53.29
MEM,1844.71 MB
CPU,49.20
MEM,1883.87 MB
CPU,61.00
MEM,1900.99 MB
CPU,46.00
MEM,1962.36 MB
CPU,67.40
MEM,1970.45 MB
CPU,64.60
MEM,1979.11 MB
CPU,58.80
MEM,2007.72 MB
CPU,56.60
MEM,2039.91 MB
CPU,47.60
MEM,2078.69 MB
CPU,67.60
MEM,2087.34 MB
CPU,48.50
MEM,2183.80 MB
CPU,69.60
MEM,2552.04 MB
CPU,58.85
MEM,2868.27 MB
CPU,57.29
MEM,2868.27 MB
CPU,69.25
MEM,2868.27 MB
CPU,48.90
MEM,2910.27 MB
CPU,71.80
MEM,2910.27 MB
CPU,62.03
MEM,2918.27 MB
CPU,52.20
MEM,2918.32 MB
CPU,73.60
MEM,2924.32 MB
CPU,61.71
MEM,2924.32 MB
CPU,54.60
MEM,2924.32 MB
CPU,70.86
MEM,2924.32 MB
CPU,71.00
MEM,2924.32 MB
CPU,61.16
MEM,2924.32 MB
CPU,45.20
MEM,2924.32 MB
CPU,53.00
MEM,2924.32 MB
CPU,49.20
MEM,2924.32 MB
CPU,39.00
MEM,2924.32 MB
CPU,30.20
MEM,2924.32 MB
CPU,19.76
MEM,2924.32 MB
CPU,10.20
MEM,2924.32 MB
CPU,3.19
MEM,2924.32 MB
