window_end,active_games,bucket0_ratio
100,150.12,0.98
200,225.41,0.97
300,274.45,0.96
400,310.39,0.95
500,352.05,0.95
600,390.86,0.95
700,407.97,0.94
800,431.45,0.93
900,469.54,0.92
1000,492.24,0.90
1100,506.10,0.91
1200,523.90,0.90
1300,548.76,0.89
1400,574.95,0.88
1500,592.69,0.88
1600,604.73,0.88
1700,618.14,0.87
1800,629.64,0.87
1900,653.23,0.86
2000,684.03,0.85
2100,703.20,0.86
2200,713.83,0.85
2300,719.41,0.85
2400,728.32,0.85
2500,743.72,0.84
2600,761.28,0.83
2700,788.49,0.83
2800,801.85,0.82
2900,810.12,0.82
3000,819.90,0.82
3100,825.85,0.82
3200,837.35,0.82
3300,853.08,0.80
3400,867.58,0.79
3500,888.86,0.78
3600,900.02,0.77
3700,908.56,0.77
3800,917.07,0.77
3900,923.74,0.76
4000,933.16,0.75
4100,943.52,0.74
4200,952.15,0.73
4300,967.13,0.73
4400,982.33,0.72
4500,1006.17,0.75
4600,1015.65,0.75
4700,1025.53,0.74
4800,1025.81,0.74
4900,1037.45,0.73
5000,987.45,0.73
5100,912.16,0.72
5200,1001.04,0.70
5300,1071.79,0.70
5400,1086.30,0.70
5500,1119.09,0.70
5600,1129.40,0.70
5700,1137.51,0.69
5800,1140.57,0.69
5900,1114.00,0.69
6000,1077.98,0.70
6100,996.38,0.71
6200,924.00,0.71
6300,881.73,0.69
6400,1170.76,0.66
6500,1189.22,0.66
6600,1229.81,0.68
6700,1240.22,0.67
6800,1246.33,0.66
6900,1256.30,0.66
7000,1226.00,0.68
7100,1136.97,0.69
7200,1057.70,0.68
7300,1005.84,0.69
7400,938.39,0.69
7500,777.61,0.69
7600,634.59,0.67
7700,831.30,0.66
7800,1335.56,0.68
7900,1359.23,0.68
8000,1358.53,0.67
8100,1368.43,0.67
8200,1318.09,0.68
8300,1266.77,0.67
8400,1220.84,0.67
8500,1163.58,0.67
8600,1110.98,0.67
8700,924.17,0.67
8800,877.47,0.67
8900,711.10,0.66
9000,625.91,0.66
9100,1337.07,0.65
9200,1480.33,0.66
9300,1481.03,0.67
9400,1472.78,0.67
9500,1407.82,0.68
9600,1346.35,0.68
9700,1219.35,0.68
