window_end,active_games,bucket0_ratio
100,149.94,1.00
200,224.47,0.99
300,274.43,0.98
400,315.57,0.98
500,349.49,0.98
600,382.65,0.97
700,410.35,0.96
800,434.80,0.95
900,461.53,0.94
1000,485.53,0.94
1100,505.11,0.94
1200,524.68,0.93
1300,547.45,0.92
1400,568.14,0.91
1500,586.78,0.91
1600,600.62,0.90
1700,618.84,0.90
1800,635.50,0.89
1900,654.17,0.88
2000,669.62,0.88
2100,688.28,0.87
2200,698.25,0.87
2300,713.83,0.86
2400,728.16,0.86
2500,742.77,0.85
2600,758.91,0.84
2700,769.99,0.84
2800,786.51,0.82
2900,797.07,0.82
3000,810.60,0.81
3100,824.22,0.80
3200,834.54,0.79
3300,847.50,0.78
3400,855.41,0.78
3500,872.18,0.77
3600,886.24,0.77
3700,894.55,0.76
3800,895.57,0.76
3900,924.45,0.75
4000,924.59,0.74
4100,935.70,0.74
4200,936.89,0.72
4300,957.12,0.70
4400,973.65,0.68
4500,990.95,0.67
4600,993.36,0.65
4700,968.35,0.63
4800,993.31,0.61
4900,991.41,0.61
5000,989.76,0.59
5100,1002.12,0.59
5200,1002.59,0.59
5300,1028.19,0.59
5400,1034.40,0.58
5500,1054.83,0.57
5600,1079.51,0.57
5700,1077.25,0.56
5800,1019.27,0.54
5900,1007.98,0.54
6000,997.28,0.54
6100,983.33,0.53
6200,965.97,0.51
6300,962.69,0.51
6400,1004.26,0.51
6500,1021.90,0.52
6600,1007.64,0.52
6700,1077.62,0.53
6800,1093.61,0.55
6900,1087.23,0.54
7000,1075.28,0.54
7100,1088.24,0.53
7200,1013.44,0.52
7300,977.48,0.52
7400,991.56,0.52
7500,965.17,0.51
7600,979.26,0.51
7700,976.65,0.51
7800,1021.30,0.52
7900,1018.83,0.52
8000,1049.76,0.53
8100,1054.83,0.53
8200,1062.16,0.54
8300,1060.14,0.53
8400,1054.51,0.52
8500,1018.30,0.51
8600,1013.51,0.51
8700,1008.41,0.51
8800,988.95,0.49
8900,988.30,0.49
9000,982.49,0.48
9100,984.54,0.48
9200,994.97,0.49
9300,981.68,0.48
9400,985.14,0.49
9500,993.09,0.49
9600,1013.92,0.50
9700,1017.50,0.50
9800,1025.95,0.50
9900,1053.45,0.52
10000,1080.18,0.52
10100,1058.37,0.51
10200,1048.66,0.51
10300,1054.84,0.51
10400,1047.98,0.52
10500,1017.33,0.51
10600,991.65,0.50
10700,991.95,0.49
10800,967.18,0.49
10900,975.20,0.49
11000,965.71,0.47
11100,965.38,0.47
11200,985.31,0.48
11300,1004.91,0.48
11400,1009.94,0.48
11500,1004.72,0.49
11600,1021.27,0.50
11700,1017.56,0.50
11800,1016.81,0.50
11900,1008.65,0.50
12000,1014.50,0.51
12100,1014.04,0.51
12200,982.58,0.50
12300,974.97,0.49
12400,1001.77,0.50
12500,995.96,0.50
12600,1014.30,0.50
12700,1018.12,0.50
12800,1019.10,0.50
12900,1012.89,0.49
13000,981.43,0.48
13100,973.69,0.48
13200,967.83,0.48
13300,970.30,0.48
13400,953.85,0.47
13500,960.24,0.47
13600,963.18,0.47
13700,962.47,0.46
13800,987.62,0.47
13900,984.37,0.47
14000,1008.68,0.48
14100,1024.57,0.50
14200,1025.19,0.49
14300,1036.88,0.50
14400,1075.35,0.50
14500,1049.56,0.49
14600,1043.76,0.49
14700,1041.13,0.50
14800,1020.87,0.49
14900,1006.23,0.49
15000,976.28,0.49
15100,963.02,0.48
15200,974.84,0.49
15300,966.24,0.48
15400,990.89,0.49
15500,1007.88,0.50
15600,1025.85,0.51
15700,1018.61,0.50
15800,1026.58,0.50
15900,1013.75,0.50
16000,1004.09,0.49
16100,998.22,0.49
