window_end,active_games,bucket0_ratio
100,80.95,1.00
200,197.95,1.00
300,245.12,1.00
400,302.23,0.99
500,322.92,0.99
600,371.53,0.99
700,401.36,0.99
800,414.19,0.99
900,409.83,0.98
1000,343.06,0.98
1100,309.86,0.99
1200,196.39,0.98
1300,493.67,0.98
1400,482.93,0.98
1500,389.07,0.97
1600,297.69,0.97
1700,437.52,0.97
1800,622.15,0.95
1900,596.36,0.95
2000,532.38,0.95
2100,427.08,0.95
2200,392.66,0.94
2300,669.18,0.94
2400,723.63,0.95
2500,718.10,0.96
2600,679.60,0.96
2700,610.75,0.96
2800,503.31,0.96
2900,593.60,0.95
3000,722.64,0.91
3100,626.23,0.91
3200,560.12,0.90
3300,434.45,0.87
3400,397.94,0.85
3500,403.38,0.75
3600,441.82,0.66
3700,786.46,0.93
3800,797.59,0.94
3900,718.94,0.93
4000,627.58,0.93
4100,587.86,0.93
4200,565.18,0.93
4300,496.54,0.93
4400,485.66,0.93
4500,935.70,0.89
4600,938.46,0.90
4700,900.21,0.90
4800,808.88,0.90
4900,739.35,0.90
5000,657.55,0.90
5100,652.72,0.90
5200,546.95,0.89
5300,563.48,0.89
5400,1026.10,0.89
5500,1065.72,0.90
5600,1038.12,0.90
5700,983.24,0.90
5800,935.46,0.90
5900,906.28,0.90
6000,863.81,0.90
6100,860.58,0.90
6200,817.80,0.90
6300,797.16,0.90
6400,818.10,0.90
6500,684.81,0.89
6600,1163.12,0.83
6700,1155.85,0.82
6800,1145.41,0.83
6900,1120.20,0.83
7000,1087.35,0.82
7100,1084.95,0.82
7200,1045.99,0.82
7300,988.29,0.83
7400,915.27,0.83
7500,862.32,0.82
7600,357.56,0.81
7700,1255.72,0.80
7800,1269.63,0.83
7900,1196.36,0.83
8000,1100.02,0.83
8100,1032.04,0.83
8200,956.08,0.83
8300,899.37,0.82
8400,831.88,0.82
8500,697.21,0.83
8600,699.28,0.83
8700,649.79,0.82
8800,438.99,0.82
8900,1025.10,0.81
9000,1387.26,0.82
9100,1353.41,0.83
9200,1267.40,0.83
9300,1202.49,0.83
9400,1153.53,0.84
9500,1165.23,0.84
9600,1114.02,0.83
9700,1194.00,0.83
9800,1024.61,0.83
9900,1059.38,0.83
10000,1014.00,0.83
10100,1036.68,0.83
10200,1044.24,0.82
10300,887.92,0.83
10400,1081.68,0.83
10500,1451.80,0.83
10600,1409.48,0.83
10700,1367.58,0.83
10800,1310.42,0.82
10900,1285.26,0.83
11000,1236.50,0.82
11100,1181.62,0.83
11200,1170.00,0.82
11300,1172.44,0.83
11400,1170.00,0.82
11500,1181.61,0.83
11600,982.82,0.82
11700,651.01,0.82
11800,784.77,0.81
11900,1610.09,0.84
12000,1576.64,0.85
12100,1536.07,0.85
12200,1498.90,0.85
12300,1462.87,0.85
12400,1409.78,0.85
12500,1378.23,0.85
12600,1357.43,0.85
12700,1350.88,0.85
12800,1342.40,0.85
12900,1370.34,0.85
13000,1125.07,0.85
13100,828.69,0.85
13200,607.00,0.84
13300,374.99,0.84
13400,1207.80,0.83
13500,1691.75,0.85
13600,1697.79,0.85
13700,1681.72,0.85
13800,1682.03,0.85
13900,1679.86,0.85
14000,1693.19,0.85
14100,1679.55,0.85
14200,1683.27,0.85
14300,1681.08,0.85
14400,1685.03,0.85
14500,1689.80,0.85
14600,1693.31,0.85
14700,1685.97,0.85
14800,1682.03,0.85
14900,1688.26,0.86
15000,1683.32,0.86
15100,1615.22,0.85
15200,1733.23,0.83
15300,1773.82,0.83
15400,1733.36,0.83
15500,1719.81,0.83
15600,1722.05,0.83
15700,1701.71,0.83
15800,1697.78,0.83
15900,1686.60,0.83
16000,1647.22,0.82
16100,1525.41,0.82
16200,1317.25,0.83
16300,1288.55,0.82
16400,952.94,0.82
16500,875.09,0.82
16600,801.97,0.82
16700,648.72,0.82
16800,849.64,0.82
16900,514.52,0.81
17000,1941.75,0.84
17100,1911.75,0.85
17200,1854.68,0.85
17300,1787.54,0.85
17400,1771.83,0.85
17500,1739.98,0.85
17600,1697.01,0.85
17700,1653.57,0.84
17800,1644.12,0.85
17900,1610.84,0.84
18000,1555.59,0.84
18100,1514.40,0.84
18200,1496.62,0.84
18300,1385.14,0.84
18400,1210.09,0.84
18500,1144.54,0.85
18600,1202.39,0.84
18700,1085.27,0.83
18800,683.67,0.83
18900,1818.73,0.82
19000,1932.41,0.83
19100,1864.33,0.82
19200,1808.73,0.83
19300,1739.11,0.82
19400,1723.47,0.82
19500,1661.68,0.83
19600,1630.73,0.82
19700,1590.27,0.83
19800,1599.43,0.83
19900,1610.60,0.83
20000,1690.70,0.83
20100,1592.73,0.83
20200,1549.88,0.83
20300,1588.68,0.82
20400,1557.64,0.83
20500,1615.84,0.82
20600,1547.78,0.82
20700,1527.78,0.83
20800,1648.13,0.83
20900,1989.24,0.86
21000,1961.97,0.86
21100,1940.19,0.86
21200,1919.41,0.86
21300,1891.14,0.86
21400,1848.21,0.86
21500,1788.64,0.86
21600,1784.17,0.86
21700,1704.90,0.86
21800,1611.08,0.85
21900,1564.43,0.86
22000,1515.18,0.85
22100,1412.08,0.85
22200,1429.05,0.85
22300,1180.37,0.85
22400,1097.23,0.85
22500,897.78,0.85
22600,796.14,0.85
22700,435.77,0.84
22800,1412.65,0.82
22900,2023.97,0.84
23000,1983.46,0.84
23100,1891.43,0.83
23200,1831.83,0.84
23300,1800.94,0.84
23400,1747.19,0.84
23500,1710.68,0.83
23600,1642.58,0.83
23700,1601.56,0.84
23800,1517.71,0.83
23900,1462.07,0.84
24000,1419.77,0.83
24100,1377.25,0.83
24200,1220.74,0.83
24300,1003.21,0.83
24400,898.05,0.83
24500,831.29,0.83
24600,675.64,0.83
24700,558.53,0.83
24800,1242.99,0.82
24900,2030.91,0.85
25000,1983.83,0.85
25100,1957.24,0.85
25200,1953.04,0.86
