window_end,active_games,bucket0_ratio
27400,644.83,0.22
27500,516.62,0.22
27600,480.03,0.24
27700,2367.47,0.26
27800,2421.14,0.21
27900,2323.23,0.20
28000,2251.30,0.21
28100,2172.07,0.21
28200,2043.74,0.20
28300,2030.78,0.21
28400,1959.63,0.20
28500,1796.47,0.21
28600,1662.64,0.20
28700,1684.71,0.20
28800,1566.32,0.19
28900,1666.33,0.19
29000,1558.50,0.21
29100,1445.86,0.20
29200,1376.04,0.19
29300,1265.05,0.18
29400,1146.94,0.19
29500,916.64,0.19
29600,555.06,0.19
29700,1351.05,0.20
29800,1241.13,0.19
29900,856.72,0.19
30000,388.17,0.19
30100,2318.85,0.26
30200,2457.48,0.22
30300,2392.43,0.21
30400,2313.66,0.20
30500,2249.78,0.20
30600,2146.07,0.19
30700,2044.64,0.19
30800,1939.84,0.20
30900,1824.64,0.19
31000,1841.20,0.18
31100,1793.34,0.19
31200,1791.00,0.20
31300,1623.49,0.18
31400,1178.05,0.17
31500,1764.68,0.20
31600,1758.05,0.18
31700,1088.40,0.18
31800,1135.66,0.18
31900,990.06,0.18
32000,1054.66,0.18
32100,843.86,0.18
32200,832.16,0.18
32300,713.63,0.20
32400,457.91,0.18
32500,707.81,0.22
32600,2553.14,0.23
32700,2560.90,0.20
32800,2519.30,0.19
32900,2418.46,0.20
33000,2386.90,0.19
33100,2323.13,0.18
33200,2113.36,0.19
33300,2055.44,0.18
33400,2032.23,0.18
33500,1911.96,0.19
33600,1816.28,0.18
33700,1724.68,0.18
33800,1520.65,0.18
33900,1446.65,0.18
34000,1437.00,0.19
34100,1437.00,0.17
34200,1247.90,0.18
34300,1014.76,0.18
34400,1125.16,0.16
34500,931.33,0.18
34600,785.68,0.19
34700,780.22,0.18
34800,635.88,0.18
34900,542.01,0.19
35000,443.92,0.20
35100,1500.25,0.25
35200,2633.93,0.19
35300,2599.02,0.16
35400,2550.05,0.14
35500,2479.00,0.16
35600,2439.00,0.13
35700,2439.00,0.13
35800,2387.77,0.12
35900,2169.53,0.12
36000,1966.98,0.14
36100,1860.34,0.13
36200,1789.23,0.15
36300,1690.36,0.13
36400,1837.62,0.14
36500,1765.78,0.17
36600,1668.04,0.14
36700,1606.79,0.13
36800,1370.85,0.13
36900,1287.07,0.14
37000,1031.12,0.14
37100,918.21,0.14
37200,718.35,0.13
37300,747.14,0.14
37400,707.48,0.13
37500,636.14,0.16
37600,543.73,0.16
37700,801.75,0.18
37800,2722.81,0.14
37900,2706.30,0.11
38000,2655.90,0.12
38100,2557.39,0.12
38200,2469.93,0.11
38300,2350.80,0.12
38400,2267.10,0.10
38500,2213.32,0.10
38600,2207.00,0.13
38700,2207.00,0.10
38800,1965.41,0.12
38900,1786.80,0.09
39000,1881.54,0.11
39100,1775.80,0.12
39200,1583.15,0.12
39300,1531.31,0.09
39400,1576.22,0.10
39500,1434.10,0.11
39600,1256.07,0.12
39700,1293.95,0.10
39800,1317.47,0.12
39900,1014.37,0.11
40000,933.17,0.11
40100,923.91,0.11
40200,791.11,0.12
40300,766.75,0.12
40400,1190.00,0.14
40500,2748.55,0.11
40600,2688.89,0.11
40700,2599.74,0.11
40800,2504.61,0.12
40900,2405.42,0.12
41000,2318.93,0.12
41100,2246.41,0.11
41200,2186.00,0.14
41300,2151.93,0.10
41400,2060.78,0.10
41500,2020.03,0.10
41600,1976.83,0.11
41700,1803.85,0.09
41800,1689.09,0.09
41900,1911.09,0.14
42000,2300.72,0.14
42100,2369.35,0.14
42200,2372.44,0.14
42300,2309.67,0.15
42400,2297.71,0.14
42500,2259.71,0.14
42600,2184.15,0.14
42700,2228.15,0.14
42800,2688.72,0.10
42900,2921.63,0.08
43000,2936.62,0.08
43100,2864.89,0.08
43200,2764.63,0.07
43300,2727.00,0.07
43400,2649.04,0.07
43500,2565.89,0.07
43600,2486.75,0.07
43700,2404.95,0.07
43800,2311.46,0.07
43900,2259.71,0.07
44000,2204.99,0.08
44100,2178.68,0.07
44200,2053.31,0.07
44300,1986.18,0.07
44400,1900.32,0.08
44500,1808.71,0.07
44600,1640.57,0.07
44700,1653.49,0.08
44800,1549.57,0.08
44900,1510.23,0.08
45000,1407.22,0.08
45100,1322.90,0.08
45200,1278.80,0.08
45300,1232.97,0.08
45400,1171.82,0.08
45500,1075.58,0.07
45600,1000.19,0.08
45700,1120.32,0.09
45800,2562.74,0.11
45900,3032.03,0.08
46000,2981.77,0.08
46100,3063.70,0.07
46200,3039.81,0.07
46300,2969.66,0.07
46400,2896.34,0.07
46500,2848.61,0.07
46600,2846.30,0.07
46700,2847.88,0.07
46800,2832.83,0.07
46900,2773.31,0.07
47000,2875.37,0.06
47100,2945.84,0.06
47200,2890.64,0.06
47300,2839.00,0.06
47400,2817.52,0.06
47500,2807.43,0.06
47600,2864.54,0.06
47700,2847.86,0.06
47800,2956.60,0.06
47900,3105.17,0.06
48000,3144.67,0.06
48100,3099.35,0.06
48200,3044.26,0.06
48300,3009.89,0.06
48400,2988.71,0.05
48500,2902.11,0.05
48600,2909.08,0.05
48700,2833.96,0.05
48800,2801.67,0.05
48900,2676.48,0.05
49000,2617.79,0.05
49100,2599.67,0.05
49200,2493.43,0.06
49300,2463.91,0.05
49400,2352.60,0.05
49500,2262.90,0.05
49600,2186.85,0.05
49700,2049.87,0.05
49800,1958.52,0.06
49900,1885.42,0.05
50000,1735.39,0.05
50100,1741.30,0.05
50200,1627.27,0.05
50300,1483.02,0.06
50400,1433.56,0.06
50500,1340.52,0.06
50600,1236.42,0.07
50700,1267.95,0.07
50800,1353.65,0.09
50900,1425.84,0.10
51000,2863.43,0.10
51100,3199.68,0.06
51200,3251.60,0.06
51300,3283.92,0.06
51400,3207.87,0.06
51500,3128.96,0.06
51600,3059.57,0.05
51700,3055.58,0.05
51800,2959.09,0.05
51900,2905.56,0.05
52000,2789.69,0.04
52100,2743.22,0.05
52200,2667.43,0.05
52300,2629.46,0.05
52400,2521.64,0.05
52500,2496.08,0.05
52600,2377.89,0.06
52700,2318.62,0.05
52800,2246.86,0.06
52900,2054.08,0.05
53000,2010.05,0.05
53100,1984.01,0.05
53200,1918.16,0.04
53300,1761.03,0.06
53400,1675.99,0.05
53500,1618.40,0.05
53600,1538.55,0.05
53700,1448.63,0.05
53800,1341.39,0.05
53900,1332.82,0.05
54000,1588.62,0.06
54100,1516.34,0.05
54200,1495.53,0.06
54300,1931.68,0.08
54400,3388.31,0.07
54500,3431.41,0.04
54600,3409.08,0.05
54700,3317.95,0.04
54800,3245.55,0.04
54900,3169.08,0.04
55000,2955.17,0.04
55100,3007.05,0.04
55200,2863.48,0.03
55300,2778.04,0.04
55400,2757.78,0.04
55500,2588.64,0.04
55600,2509.50,0.03
55700,2509.00,0.03
55800,2103.31,0.04
55900,2223.02,0.04
56000,2131.92,0.04
56100,2070.04,0.03
56200,2072.77,0.03
56300,1853.00,0.04
56400,1853.00,0.04
56500,1605.79,0.03
56600,1573.52,0.04
56700,1504.55,0.04
56800,1399.47,0.04
56900,1235.88,0.04
57000,1198.34,0.05
57100,1076.95,0.04
57200,967.78,0.05
57300,826.38,0.05
57400,671.96,0.05
57500,822.14,0.05
57600,730.34,0.05
57700,609.83,0.07
57800,698.81,0.12
57900,1812.34,0.19
58000,3464.89,0.08
58100,3396.67,0.13
58200,3503.55,0.10
58300,3453.09,0.09
58400,3387.43,0.05
58500,3282.38,0.08
58600,3263.92,0.07
58700,3233.06,0.11
58800,3237.93,0.07
58900,3210.50,0.09
59000,3163.88,0.08
59100,3044.30,0.13
59200,2978.65,0.09
59300,3015.89,0.09
59400,3032.19,0.06
59500,2954.37,0.08
59600,3071.19,0.10
59700,3111.66,0.09
59800,3425.04,0.07
59900,3447.75,0.05
60000,3379.36,0.05
60100,3290.24,0.07
60200,3236.03,0.07
60300,3141.57,0.05
60400,3042.88,0.04
60500,2969.69,0.05
60600,2932.73,0.04
60700,2881.68,0.05
60800,2809.01,0.05
60900,2747.79,0.04
