Type,Value
CPU,2.20
MEM,21.20 MB
CPU,8.20
MEM,27.33 MB
CPU,10.58
MEM,34.62 MB
CPU,13.57
MEM,41.39 MB
CPU,17.40
MEM,47.41 MB
CPU,15.60
MEM,55.66 MB
CPU,16.80
MEM,66.11 MB
CPU,19.96
MEM,72.40 MB
CPU,19.00
MEM,80.64 MB
CPU,20.96
MEM,91.13 MB
CPU,23.43
MEM,96.01 MB
CPU,25.15
MEM,103.74 MB
CPU,35.60
MEM,115.98 MB
CPU,39.33
MEM,117.93 MB
CPU,38.72
MEM,124.06 MB
CPU,43.20
MEM,138.34 MB
CPU,41.00
MEM,144.53 MB
CPU,43.00
MEM,157.10 MB
CPU,44.31
MEM,156.57 MB
CPU,42.60
MEM,163.55 MB
CPU,43.11
MEM,159.68 MB
CPU,45.11
MEM,170.58 MB
CPU,44.60
MEM,173.80 MB
CPU,51.50
MEM,140.15 MB
CPU,44.09
MEM,176.22 MB
CPU,54.29
MEM,180.36 MB
CPU,52.00
MEM,181.46 MB
CPU,50.80
MEM,193.59 MB
CPU,53.80
MEM,177.34 MB
CPU,50.00
MEM,187.66 MB
CPU,52.20
MEM,192.41 MB
CPU,50.60
MEM,178.02 MB
CPU,49.10
MEM,178.41 MB
CPU,51.20
MEM,196.62 MB
CPU,52.96
MEM,198.62 MB
CPU,48.92
MEM,198.62 MB
CPU,51.40
MEM,192.57 MB
CPU,49.80
MEM,179.81 MB
CPU,51.20
MEM,185.03 MB
CPU,56.18
MEM,167.25 MB
CPU,47.31
MEM,191.55 MB
CPU,52.80
MEM,199.08 MB
CPU,51.39
MEM,205.04 MB
CPU,51.30
MEM,207.26 MB
CPU,54.60
MEM,200.70 MB
CPU,53.80
MEM,189.79 MB
CPU,53.49
MEM,186.65 MB
CPU,53.00
MEM,186.43 MB
CPU,50.50
MEM,194.99 MB
CPU,49.80
MEM,199.16 MB
CPU,47.70
MEM,170.46 MB
CPU,42.80
MEM,178.48 MB
CPU,49.20
MEM,168.74 MB
CPU,40.52
MEM,166.72 MB
CPU,38.12
MEM,169.58 MB
CPU,45.51
MEM,163.61 MB
CPU,29.74
MEM,161.67 MB
CPU,33.86
MEM,151.36 MB
CPU,42.00
MEM,148.67 MB
CPU,32.00
MEM,136.95 MB
CPU,33.60
MEM,133.59 MB
CPU,34.13
MEM,126.28 MB
CPU,26.40
MEM,112.21 MB
CPU,25.60
MEM,116.21 MB
CPU,24.50
MEM,125.58 MB
CPU,21.07
MEM,128.72 MB
CPU,19.16
MEM,133.60 MB
CPU,16.40
MEM,143.34 MB
CPU,12.60
MEM,153.03 MB
CPU,4.20
MEM,167.42 MB
CPU,1.00
MEM,182.38 MB
